Unambiguous Examples:
     petal_length  petal_width    output       class     species
53            4.0          1.3  0.175086  versicolor  versicolor
57            3.3          1.0  0.062973  versicolor  versicolor
59            3.9          1.4  0.182426  versicolor  versicolor
60            3.5          1.0  0.075858  versicolor  versicolor
62            4.0          1.0  0.119203  versicolor  versicolor
64            3.6          1.3  0.124553  versicolor  versicolor
67            4.1          1.0  0.130108  versicolor  versicolor
69            3.9          1.1  0.124553  versicolor  versicolor
71            4.0          1.3  0.175086  versicolor  versicolor
79            3.5          1.0  0.075858  versicolor  versicolor
80            3.8          1.1  0.114052  versicolor  versicolor
81            3.7          1.0  0.091123  versicolor  versicolor
82            3.9          1.2  0.141851  versicolor  versicolor
88            4.1          1.3  0.190002  versicolor  versicolor
89            4.0          1.3  0.175086  versicolor  versicolor
92            4.0          1.2  0.154465  versicolor  versicolor
93            3.3          1.0  0.062973  versicolor  versicolor
95            4.2          1.2  0.182426  versicolor  versicolor
98            3.0          1.1  0.054681  versicolor  versicolor
99            4.1          1.3  0.190002  versicolor  versicolor
100           6.0          2.5  0.904651   virginica   virginica
102           5.9          2.1  0.824914   virginica   virginica
104           5.8          2.2  0.832018   virginica   virginica
105           6.6          2.1  0.904651   virginica   virginica
107           6.3          1.8  0.817574   virginica   virginica
109           6.1          2.5  0.912934   virginica   virginica
117           6.7          2.2  0.924142   virginica   virginica
118           6.9          2.3  0.945319   virginica   virginica
120           5.7          2.3  0.838891   virginica   virginica
122           6.7          2.0  0.900250   virginica   virginica
130           6.1          1.9  0.809998   virginica   virginica
131           6.4          2.0  0.869892   virginica   virginica
132           5.6          2.2  0.802184   virginica   virginica
135           6.1          2.3  0.885948   virginica   virginica
136           5.6          2.4  0.845535   virginica   virginica
140           5.6          2.4  0.845535   virginica   virginica
143           5.9          2.3  0.864127   virginica   virginica
144           5.7          2.5  0.875447   virginica   virginica

Near-Boundary Examples:
     petal_length  petal_width    output       class     species
52            4.9          1.5  0.413382  versicolor  versicolor
56            4.7          1.6  0.401312  versicolor  versicolor
70            4.8          1.8  0.500000  versicolor  versicolor
72            4.9          1.5  0.413382  versicolor  versicolor
77            5.0          1.7  0.512497   virginica  versicolor
83            5.1          1.6  0.500000  versicolor  versicolor
119           5.0          1.5  0.437823  versicolor   virginica
121           4.9          2.0  0.598688   virginica   virginica
123           4.9          1.8  0.524979   virginica   virginica
126           4.8          1.8  0.500000  versicolor   virginica
127           4.9          1.8  0.524979   virginica   virginica
133           5.1          1.5  0.462570  versicolor   virginica
134           5.6          1.4  0.549834   virginica   virginica
138           4.8          1.8  0.500000  versicolor   virginica
146           5.0          1.9  0.586618   virginica   virginica
149           5.1          1.8  0.574443   virginica   virginica
